order_id,quarter,region,product,customer_tier,contract_value_usd,refunded,refund_amount_usd,sales_rep
1000,2025-Q1,North America,Northwind CRM,Business,51597.91,False,0.0,L. Fernandez
1001,2025-Q1,North America,Northwind CRM,Enterprise,90775.06,False,0.0,J. Osei
1002,2025-Q1,North America,Northwind CRM,Business,38822.09,False,0.0,K. Tanaka
1003,2025-Q1,North America,Northwind CRM,Business,38727.65,False,0.0,M. Dubois
1004,2025-Q1,North America,Northwind CRM,Business,48856.78,False,0.0,A. Mehta
1005,2025-Q1,North America,Northwind CRM,Enterprise,74022.96,False,0.0,R. Kapoor
1006,2025-Q1,North America,Northwind CRM,Business,55479.84,False,0.0,J. Osei
1007,2025-Q1,North America,Northwind CRM,Business,44711.63,False,0.0,R. Kapoor
1008,2025-Q1,North America,Northwind Analytics,Enterprise,61314.7,False,0.0,M. Dubois
1009,2025-Q1,North America,Northwind Analytics,Business,30952.68,False,0.0,S. Novak
1010,2025-Q1,North America,Northwind Analytics,Business,36218.52,True,11050.58,R. Kapoor
1011,2025-Q1,North America,Northwind Support Desk,Enterprise,45231.23,False,0.0,T. Owusu
1012,2025-Q1,North America,Northwind Support Desk,Enterprise,37646.26,False,0.0,K. Tanaka
1013,2025-Q1,North America,Northwind Support Desk,Enterprise,42741.52,False,0.0,J. Osei
1014,2025-Q1,North America,Northwind Billing Suite,Enterprise,53608.26,False,0.0,T. Owusu
1015,2025-Q1,North America,Northwind Billing Suite,Business,34882.66,False,0.0,K. Tanaka
1016,2025-Q1,North America,Northwind Billing Suite,Enterprise,59831.89,False,0.0,K. Tanaka
1017,2025-Q1,North America,Northwind Billing Suite,Enterprise,59069.72,False,0.0,J. Osei
1018,2025-Q1,North America,Northwind Billing Suite,Business,34360.59,False,0.0,S. Novak
1019,2025-Q1,North America,Northwind Billing Suite,Business,29391.39,False,0.0,T. Owusu
1020,2025-Q1,North America,Northwind Billing Suite,Business,25363.86,False,0.0,R. Kapoor
1021,2025-Q1,EMEA,Northwind CRM,Business,54410.81,False,0.0,K. Tanaka
1022,2025-Q1,EMEA,Northwind CRM,Enterprise,73331.95,False,0.0,A. Mehta
1023,2025-Q1,EMEA,Northwind CRM,Enterprise,73802.06,False,0.0,M. Dubois
1024,2025-Q1,EMEA,Northwind CRM,Business,45175.81,False,0.0,T. Owusu
1025,2025-Q1,EMEA,Northwind CRM,Business,55729.41,False,0.0,A. Mehta
1026,2025-Q1,EMEA,Northwind CRM,Enterprise,72561.48,False,0.0,R. Kapoor
1027,2025-Q1,EMEA,Northwind CRM,Enterprise,79871.69,False,0.0,L. Fernandez
1028,2025-Q1,EMEA,Northwind CRM,Business,55418.69,False,0.0,R. Kapoor
1029,2025-Q1,EMEA,Northwind Analytics,Enterprise,60656.99,False,0.0,R. Kapoor
1030,2025-Q1,EMEA,Northwind Analytics,Enterprise,60656.55,False,0.0,S. Novak
1031,2025-Q1,EMEA,Northwind Analytics,Enterprise,61387.29,False,0.0,A. Mehta
1032,2025-Q1,EMEA,Northwind Analytics,Business,33454.15,False,0.0,S. Novak
1033,2025-Q1,EMEA,Northwind Analytics,Enterprise,68121.57,False,0.0,A. Mehta
1034,2025-Q1,EMEA,Northwind Analytics,Business,34462.17,False,0.0,T. Owusu
1035,2025-Q1,EMEA,Northwind Analytics,Enterprise,71492.76,False,0.0,L. Fernandez
1036,2025-Q1,EMEA,Northwind Support Desk,Enterprise,46446.35,False,0.0,M. Dubois
1037,2025-Q1,EMEA,Northwind Support Desk,Enterprise,46175.17,False,0.0,K. Tanaka
1038,2025-Q1,EMEA,Northwind Support Desk,Enterprise,38162.76,False,0.0,S. Novak
1039,2025-Q1,EMEA,Northwind Support Desk,Business,22197.64,False,0.0,K. Tanaka
1040,2025-Q1,EMEA,Northwind Billing Suite,Business,30389.06,False,0.0,K. Tanaka
1041,2025-Q1,EMEA,Northwind Billing Suite,Business,31727.82,True,5097.4,A. Mehta
1042,2025-Q1,EMEA,Northwind Billing Suite,Enterprise,44268.48,False,0.0,T. Owusu
1043,2025-Q1,APAC,Northwind CRM,Business,51270.35,False,0.0,T. Owusu
1044,2025-Q1,APAC,Northwind CRM,Business,46763.51,False,0.0,J. Osei
1045,2025-Q1,APAC,Northwind CRM,Business,46008.92,False,0.0,T. Owusu
1046,2025-Q1,APAC,Northwind CRM,Enterprise,70605.15,False,0.0,J. Osei
1047,2025-Q1,APAC,Northwind Analytics,Business,31543.07,False,0.0,K. Tanaka
1048,2025-Q1,APAC,Northwind Analytics,Business,34064.46,False,0.0,L. Fernandez
1049,2025-Q1,APAC,Northwind Analytics,Business,30397.52,False,0.0,T. Owusu
1050,2025-Q1,APAC,Northwind Support Desk,Business,23328.02,False,0.0,A. Mehta
1051,2025-Q1,APAC,Northwind Support Desk,Enterprise,46136.67,False,0.0,L. Fernandez
1052,2025-Q1,APAC,Northwind Support Desk,Business,21893.41,False,0.0,A. Mehta
1053,2025-Q1,APAC,Northwind Support Desk,Business,17868.11,False,0.0,T. Owusu
1054,2025-Q1,APAC,Northwind Support Desk,Business,23701.37,False,0.0,T. Owusu
1055,2025-Q1,APAC,Northwind Support Desk,Business,20342.35,False,0.0,A. Mehta
1056,2025-Q1,APAC,Northwind Support Desk,Enterprise,32994.34,False,0.0,L. Fernandez
1057,2025-Q1,APAC,Northwind Billing Suite,Enterprise,44455.05,False,0.0,J. Osei
1058,2025-Q1,APAC,Northwind Billing Suite,Enterprise,47581.71,False,0.0,K. Tanaka
1059,2025-Q1,APAC,Northwind Billing Suite,Business,24245.11,False,0.0,S. Novak
1060,2025-Q1,LATAM,Northwind CRM,Business,51141.45,False,0.0,M. Dubois
1061,2025-Q1,LATAM,Northwind CRM,Business,49869.01,False,0.0,J. Osei
1062,2025-Q1,LATAM,Northwind CRM,Business,49430.87,False,0.0,J. Osei
1063,2025-Q1,LATAM,Northwind CRM,Business,42086.78,False,0.0,S. Novak
1064,2025-Q1,LATAM,Northwind CRM,Enterprise,97338.36,False,0.0,L. Fernandez
1065,2025-Q1,LATAM,Northwind Analytics,Enterprise,65169.56,False,0.0,A. Mehta
1066,2025-Q1,LATAM,Northwind Analytics,Enterprise,61738.04,False,0.0,J. Osei
1067,2025-Q1,LATAM,Northwind Analytics,Enterprise,52054.07,False,0.0,J. Osei
1068,2025-Q1,LATAM,Northwind Analytics,Enterprise,52541.52,False,0.0,K. Tanaka
1069,2025-Q1,LATAM,Northwind Analytics,Enterprise,53650.88,False,0.0,R. Kapoor
1070,2025-Q1,LATAM,Northwind Analytics,Business,30414.35,False,0.0,A. Mehta
1071,2025-Q1,LATAM,Northwind Support Desk,Enterprise,44669.74,True,17876.87,L. Fernandez
1072,2025-Q1,LATAM,Northwind Support Desk,Enterprise,36090.76,False,0.0,M. Dubois
1073,2025-Q1,LATAM,Northwind Support Desk,Business,18789.74,False,0.0,L. Fernandez
1074,2025-Q1,LATAM,Northwind Billing Suite,Business,27935.22,False,0.0,M. Dubois
1075,2025-Q1,LATAM,Northwind Billing Suite,Business,27252.49,False,0.0,A. Mehta
1076,2025-Q1,LATAM,Northwind Billing Suite,Enterprise,47075.14,False,0.0,J. Osei
